gratis	gratis	adverbe
grave	grave	noun
great-great-grandmother	great-great-grandmother	noun
great-great-grandfather	great-great-grandfather	noun
goodly	goodly	adverbe
goodly	goodly	adjective
Gallegan	Gallegan	proper noun
gibbon	gibbon	noun
gibbons	gibbon	noun:plural
glove	glove	noun
glove	glove	verb:simple_present+transitive
gloves	glove	verb:simple_present+transitive
gloved	glove	verb:simple_past+transitive
gloved	glove	verb:past_participle+transitive
gloving	glove	verb:present_participle+transitive
grip	grip	verb:simple_present+transitive
grips	grip	verb:simple_present+transitive
???	grip	verb:simple_past+transitive
???	grip	verb:past_participle+transitive
???	grip	verb:present_participle+transitive
gripping	grip	verb:present_participle
grip	grip	noun
gossling	gossling	noun
googlewhack	googlewhack	noun
googly	googly	noun
googlies	googly	noun:plural
googly	googly	adjective
grapevine	grapevine	noun
garbage	garbage	noun
gwraidd	gwraidd	noun
grandaunt	grandaunt	noun
go-to	go-to	adjective
goolie	goolie	noun
gypsy	gypsy	noun
garrulous	garrulous	adjective
gratitude	gratitude	noun
grateful	grateful	adjective
gist	gist	noun
garment	garment	noun
garments	garment	noun:plural
garb	garb	noun
garbs	garb	noun:plural
garb	garb	verb:simple_present+
garbs	garb	verb:simple_present+
garbed	garb	verb:simple_past+
garbed	garb	verb:past_participle+
garbing	garb	verb:present_participle+
garbing	garb	verb:present_participle
grope	grope	verb:simple_present+
gropes	grope	verb:simple_present+
groped	grope	verb:simple_past+
groped	grope	verb:past_participle+
groping	grope	verb:present_participle+
grope	grope	noun
gropes	grope	noun:plural
garnish	garnish	verb:simple_present+
garnishs	garnish	verb:simple_present+
garnished	garnish	verb:simple_past+
garnished	garnish	verb:past_participle+
garnishing	garnish	verb:present_participle+
garnishing	garnish	verb:present_participle
garnish	garnish	noun
ginormous	ginormous	adjective
gad	gad	noun
gratuity	gratuity	noun
gaol	gaol	noun
gaols	gaol	noun:plural
gimme	gimme	noun
gangue	gangue	noun
gambeson	gambeson	noun
gambesons	gambeson	noun:plural
gusset	gusset	noun
gussets	gusset	noun:plural
gousset	gousset	noun
goussets	gousset	noun:plural
greeve	greeve	noun
greeves	greeve	noun:plural
glottis	glottis	noun
glottises	glottis	noun:plural
grazier	grazier	noun
gisarme	gisarme	noun
gisaring	gisaring	noun
gisarings	gisaring	noun:plural
glaive	glaive	noun
glaives	glaive	noun:plural
gea	gea	adverbe
gangurru	gangurru	noun
guy	guy	proper noun
guy	guy	noun
glucoside	glucoside	noun
glycoside	glycoside	noun
glucose	glucose	noun
genizah	genizah	noun
guys	guys	noun
greeking	greeking	verbal noun
glorious	glorious	adjective
glow	glow	verb:simple_present+
glows	glow	verb:simple_present+
glowed	glow	verb:simple_past+
glowed	glow	verb:past_participle+
glowing	glow	verb:present_participle+
glowing	glow	verb:present_participle
glow	glow	noun
Gaeilge	Gaeilge	noun
gaedhlaing	gaedhlaing	noun
gaolainn	gaolainn	noun
gaedhilge	gaedhilge	noun
guru	guru	noun
gynandromorph	gynandromorph	noun
gynandrous	gynandrous	adjective
gaijin	gaijin	noun
glockenspiel	glockenspiel	noun
girlish	girlish	adjective
grandnephew	grandnephew	noun
grandnephews	grandnephew	noun:plural
great-nephew	great-nephew	noun
great-nephews	great-nephew	noun:plural
glabrous	glabrous	adjective
gumuuma	gumuuma	noun
gali-balalaa	gali-balalaa	noun
garnet	garnet	noun
garnet	garnet	adjective
gollumish	gollumish	adjective
ginder	ginder	adverbe
ginds	ginds	adverbe
guarantee	guarantee	noun
guarantee	guarantee	verb:simple_present+
guarantees	guarantee	verb:simple_present+
guaranteed	guarantee	verb:simple_past+
guaranteed	guarantee	verb:past_participle+
guaranteing	guarantee	verb:present_participle+
Getafix	Getafix	proper noun
goofy	goofy	adjective
guisto	guisto	adverbe
ganar	ganar	verb:simple_present+
ganars	ganar	verb:simple_present+
???	ganar	verb:simple_past+
???	ganar	verb:past_participle+
???	ganar	verb:present_participle+
grinch	grinch	noun
genre	genre	noun
geisha	geisha	noun
guano	guano	noun
Gavin	Gavin	proper noun
generally	generally	adverbe
geekly	geekly	adjective
geeky	geeky	adjective
geekery	geekery	noun
gewr	gewr	adjective
galadriel	galadriel	proper noun
Gandalf	Gandalf	proper noun
Gimli	Gimli	proper noun
grimoire	grimoire	noun
gut-wrenching	gut-wrenching	adjective
gobshite	gobshite	noun
gobshites	gobshite	noun:plural
gob	gob	noun
gobs	gob	noun:plural
gob	gob	noun
gob	gob	verb:simple_present+
gobs	gob	verb:simple_present+
???	gob	verb:simple_past+
???	gob	verb:past_participle+
???	gob	verb:present_participle+
gollum	gollum	proper noun
guardian	guardian	noun
guardian	guardian	proper noun
gubernatorial	gubernatorial	adjective
gorge	gorge	noun
gorge	gorge	verb:simple_present+intransitive
gorges	gorge	verb:simple_present+intransitive
gorged	gorge	verb:simple_past+intransitive
gorged	gorge	verb:past_participle+intransitive
gorging	gorge	verb:present_participle+intransitive
gorge	gorge	adjective
gullet	gullet	noun
gullets	gullet	noun:plural
gobby	gobby	noun
gee	gee	interjection
gee	gee	verb:simple_present+
gees	gee	verb:simple_present+
geed	gee	verb:simple_past+
geed	gee	verb:past_participle+
geing	gee	verb:present_participle+
GNOME	GNOME	proper noun
gaby	gaby	noun
gabbro	gabbro	noun
gadder	gadder	noun
gage	gage	noun
gager	gager	noun
gagger	gagger	noun
gait	gait	noun
gaiter	gaiter	noun
gala	gala	noun
galena	galena	noun
gall	gall	noun
gall	gall	verb:simple_present+transitive
galls	gall	verb:simple_present+transitive
galled	gall	verb:simple_past+transitive
galled	gall	verb:past_participle+transitive
galling	gall	verb:present_participle+transitive
gall	gall	verb:simple_present+intransitive
galls	gall	verb:simple_present+intransitive
galled	gall	verb:simple_past+intransitive
galled	gall	verb:past_participle+intransitive
galling	gall	verb:present_participle+intransitive
gam	gam	noun
gambit	gambit	noun
ganger	ganger	noun
gannet	gannet	noun
gape	gape	verb:simple_present+
gapes	gape	verb:simple_present+
gaped	gape	verb:simple_past+
gaped	gape	verb:past_participle+
gaping	gape	verb:present_participle+
gaper	gaper	noun
garble	garble	verb:simple_present+
garbles	garble	verb:simple_present+
garbled	garble	verb:simple_past+
garbled	garble	verb:past_participle+
garbling	garble	verb:present_participle+
gasify	gasify	verb:simple_present+
gasifies	gasify	verb:simple_present+
gasified	gasify	verb:simple_past+
gasified	gasify	verb:past_participle+
gasifying	gasify	verb:present_participle+
gasser	gasser	noun
gauger	gauger	noun
gaur	gaur	noun
gauss	gauss	noun
gecko	gecko	noun
geyser	geyser	noun
gilder	gilder	noun
gilt	gilt	verb:simple_present+
gilts	gilt	verb:simple_present+
gilted	gilt	verb:simple_past+
gilted	gilt	verb:past_participle+
gilting	gilt	verb:present_participle+
gimbal	gimbal	noun
gingko	gingko	noun
glazer	glazer	noun
glen	glen	noun
glom	glom	verb:simple_present+
gloms	glom	verb:simple_present+
???	glom	verb:simple_past+
???	glom	verb:past_participle+
???	glom	verb:present_participle+
glycol	glycol	noun
gnarl	gnarl	noun
gnarl	gnarl	verb:simple_present+transitive
gnarls	gnarl	verb:simple_present+transitive
gnarled	gnarl	verb:simple_past+transitive
gnarled	gnarl	verb:past_participle+transitive
gnarling	gnarl	verb:present_participle+transitive
gnarl	gnarl	verb:simple_present+intransitive
gnarls	gnarl	verb:simple_present+intransitive
gnarled	gnarl	verb:simple_past+intransitive
gnarled	gnarl	verb:past_participle+intransitive
gnarling	gnarl	verb:present_participle+intransitive
godwit	godwit	noun
goer	goer	noun
goober	goober	noun
goobers	goober	noun:plural
gouge	gouge	noun
gouge	gouge	verb:simple_present+
gouges	gouge	verb:simple_present+
gouged	gouge	verb:simple_past+
gouged	gouge	verb:past_participle+
gouging	gouge	verb:present_participle+
gout	gout	noun
gravid	gravid	adjective
griper	griper	adjective
grippe	grippe	noun
grout	grout	noun
gumbo	gumbo	noun
gummer	gummer	noun
gunny	gunny	noun
gyp	gyp	noun
gyp	gyp	verb:simple_present+
gyps	gyp	verb:simple_present+
???	gyp	verb:simple_past+
???	gyp	verb:past_participle+
???	gyp	verb:present_participle+
gypsum	gypsum	noun
gyrate	gyrate	verb:simple_present+
gyrates	gyrate	verb:simple_present+
gyrated	gyrate	verb:simple_past+
gyrated	gyrate	verb:past_participle+
gyrating	gyrate	verb:present_participle+
gyro	gyro	noun
gyros	gyro	noun:plural
gaily	gaily	adverbe
gainsay	gainsay	verb:simple_present+
gainsays	gainsay	verb:simple_present+
gainsayed	gainsay	verb:simple_past+
gainsayed	gainsay	verb:past_participle+
gainsaying	gainsay	verb:present_participle+
galley	galley	noun
gallimaufry	gallimaufry	noun
galvanization	galvanization	noun
gang	gang	noun
gang	gang	verb:simple_present+
gangs	gang	verb:simple_present+
ganged	gang	verb:simple_past+
ganged	gang	verb:past_participle+
ganging	gang	verb:present_participle+
gaoler	gaoler	noun
gap	gap	noun
gaps	gap	noun:plural
gap	gap	verb:simple_present+
gaps	gap	verb:simple_present+
???	gap	verb:simple_past+
???	gap	verb:past_participle+
???	gap	verb:present_participle+
gather	gather	noun
gathers	gather	noun:plural
gather	gather	verb:simple_present+
gathers	gather	verb:simple_present+
gathered	gather	verb:simple_past+
gathered	gather	verb:past_participle+
gathering	gather	verb:present_participle+
gauge	gauge	noun
gauges	gauge	noun:plural
gauge	gauge	verb:simple_present+transitive
gauges	gauge	verb:simple_present+transitive
gauged	gauge	verb:simple_past+transitive
gauged	gauge	verb:past_participle+transitive
gauging	gauge	verb:present_participle+transitive
gaze	gaze	noun
gazes	gaze	noun:plural
gaze	gaze	verb:simple_present+
gazes	gaze	verb:simple_present+
gazed	gaze	verb:simple_past+
gazed	gaze	verb:past_participle+
gazing	gaze	verb:present_participle+
gazette	gazette	noun
gazette	gazette	verb:simple_present+
gazettes	gazette	verb:simple_present+
gazetted	gazette	verb:simple_past+
gazetted	gazette	verb:past_participle+
gazetting	gazette	verb:present_participle+
geld	geld	noun
geld	geld	verb:simple_present+
gelds	geld	verb:simple_present+
gelded	geld	verb:simple_past+
gelded	geld	verb:past_participle+
gelding	geld	verb:present_participle+
gentry	gentry	adjective
genuine	genuine	adjective
germanization	germanization	noun
germination	germination	noun
gestation	gestation	noun
gesticulation	gesticulation	noun
ghee	ghee	noun
gimp	gimp	noun
gimp	gimp	verb:simple_present+
gimps	gimp	verb:simple_present+
gimped	gimp	verb:simple_past+
gimped	gimp	verb:past_participle+
gimping	gimp	verb:present_participle+
gimp	gimp	adjective
girdle	girdle	noun
girdle	girdle	verb:simple_present+
girdles	girdle	verb:simple_present+
girdled	girdle	verb:simple_past+
girdled	girdle	verb:past_participle+
girdling	girdle	verb:present_participle+
glaciation	glaciation	noun
glans	glans	noun
glade	glade	noun
glamour	glamour	noun
glaze	glaze	noun
glaze	glaze	verb:simple_present+
glazes	glaze	verb:simple_present+
glazed	glaze	verb:simple_past+
glazed	glaze	verb:past_participle+
glazing	glaze	verb:present_participle+
gleam	gleam	noun
gleam	gleam	verb:simple_present+
gleams	gleam	verb:simple_present+
gleamed	gleam	verb:simple_past+
gleamed	gleam	verb:past_participle+
gleaming	gleam	verb:present_participle+
glee	glee	noun
glitter	glitter	noun
glitter	glitter	verb:simple_present+
glitters	glitter	verb:simple_present+
???	glitter	verb:simple_past+
???	glitter	verb:past_participle+
glittering	glitter	verb:present_participle+
glittering	glitter	verb:present_participle
gloomy	gloomy	adjective
glorification	glorification	noun
goad	goad	verb:simple_present+
goads	goad	verb:simple_present+
goaded	goad	verb:simple_past+
goaded	goad	verb:past_participle+
goading	goad	verb:present_participle+
goad	goad	noun
gown	gown	noun
grabber	grabber	noun
grader	grader	noun
grail	grail	noun
grainy	grainy	adjective
grand	grand	adjective
grand	grand	noun
grant	grant	verb:simple_present+
grants	grant	verb:simple_present+
granted	grant	verb:simple_past+
granted	grant	verb:past_participle+
granting	grant	verb:present_participle+
granting	grant	verb:present_participle
granulation	granulation	noun
graticulation	graticulation	noun
gratification	gratification	noun
graze	graze	noun
graze	graze	verb:simple_present+
grazes	graze	verb:simple_present+
grazed	graze	verb:simple_past+
grazed	graze	verb:past_participle+
grazing	graze	verb:present_participle+
grebe	grebe	noun
greed	greed	noun
greet	greet	noun
greet	greet	verb:simple_present+
greets	greet	verb:simple_present+
greeted	greet	verb:simple_past+
greeted	greet	verb:past_participle+
greeting	greet	verb:present_participle+
greet	greet	adjective
grief	grief	noun
grimace	grimace	noun
grimace	grimace	verb:simple_present+
grimaces	grimace	verb:simple_present+
grimaced	grimace	verb:simple_past+
grimaced	grimace	verb:past_participle+
grimacing	grimace	verb:present_participle+
grisette	grisette	noun
gritty	gritty	adjective
growl	growl	noun
growl	growl	verb:simple_present+
growls	growl	verb:simple_present+
growled	growl	verb:simple_past+
growled	growl	verb:past_participle+
growling	growl	verb:present_participle+
growling	growl	verb:present_participle
gubernation	gubernation	noun
guise	guise	noun
gustation	gustation	noun
gyration	gyration	noun
grep	grep	proper noun
grep	grep	verb:simple_present+
greps	grep	verb:simple_present+
???	grep	verb:simple_past+
???	grep	verb:past_participle+
???	grep	verb:present_participle+
greppable	greppable	adjective
gimcrack	gimcrack	adjective
glottogony	glottogony	noun
glute	glute	noun
glutes	glute	noun:plural
gold-finger	gold-finger	noun
googledork	googledork	noun
google-proof	google-proof	adjective
google-proof	google-proof	verb:simple_present+transitive
google-proofs	google-proof	verb:simple_present+transitive
google-proofed	google-proof	verb:simple_past+transitive
google-proofed	google-proof	verb:past_participle+transitive
google-proofing	google-proof	verb:present_participle+transitive
gumption	gumption	noun
gargoyle	gargoyle	noun
gallophilia	gallophilia	noun
germanophilia	germanophilia	noun
geophilia	geophilia	noun
gerontophilia	gerontophilia	noun
glossophilia	glossophilia	noun
gynephilia	gynephilia	noun
gynophobia	gynophobia	noun
gantry	gantry	noun
geotaxis	geotaxis	noun
gullah	gullah	adjective
gullah	gullah	proper noun
glurgy	glurgy	adjective
granite	granite	noun
grappa	grappa	noun
gladiator	gladiator	noun
gorblimey	gorblimey	interjection
gorgeous	gorgeous	adjective
gyratory	gyratory	adjective
git	git	noun
git	git	verb:simple_present+
gits	git	verb:simple_present+
???	git	verb:simple_past+
???	git	verb:past_participle+
???	git	verb:present_participle+
generous	generous	adjective
generosity	generosity	noun
goldarn	goldarn	interjection
goldarnit	goldarnit	interjection
goshdarn	goshdarn	interjection
goshdarnit	goshdarnit	interjection
goldurn	goldurn	interjection
goldurnit	goldurnit	interjection
goshdurn	goshdurn	interjection
gosh	gosh	interjection
garbanzo	garbanzo	noun
garbanzos	garbanzo	noun:plural
Gimel	Gimel	noun
Gimel	Gimel	proper noun
G-d	G-d	proper noun
gospel	gospel	noun
greedy	greedy	adjective
gat	gat	noun
gav	gav	proper noun
gibibyte	gibibyte	noun
gibibytes	gibibyte	noun:plural
gigabyte	gigabyte	noun
gigabytes	gigabyte	noun:plural
Ginny	Ginny	proper noun
Ginnys	Ginny	proper noun:plural
giver	giver	noun
genius	genius	noun
geniuses	genius	noun:plural
grouse	grouse	noun
goods	goods	noun
gluon	gluon	noun
gluons	gluon	noun:plural
graviton	graviton	noun
gravitational	gravitational	adjective
grotesque	grotesque	adjective
Geelong	Geelong	proper noun
gaduin	gaduin	noun
glomp	glomp	verb:simple_present+
glomps	glomp	verb:simple_present+
glomped	glomp	verb:simple_past+
glomped	glomp	verb:past_participle+
glomping	glomp	verb:present_participle+
gullible	gullible	adjective
Gibraltar	Gibraltar	proper noun
gallant	gallant	adjective
gink	gink	noun
ginks	gink	noun:plural
grinder	grinder	noun
grinders	grinder	noun:plural
geocentric	geocentric	adjective
gorilla	gorilla	noun
ghastly	ghastly	adjective
genie	genie	noun
glue	glue	noun
glues	glue	noun:plural
glue	glue	verb:simple_present+
glues	glue	verb:simple_present+
glued	glue	verb:simple_past+
glued	glue	verb:past_participle+
gluing	glue	verb:present_participle+
googlish	googlish	adjective
googlish	googlish	noun
great-grandparent	great-grandparent	noun
gynecology	gynecology	noun
glengarry	glengarry	noun
garbologist	garbologist	noun
grecized	grecized	verb:simple_present+
grecizeds	grecized	verb:simple_present+
???	grecized	verb:simple_past+
???	grecized	verb:past_participle+
???	grecized	verb:present_participle+
girder	girder	noun
Gabriel	Gabriel	proper noun
goner	goner	noun
goners	goner	noun:plural
goners	goners	noun
graffito	graffito	noun
gutted	gutted	adjective
gelid	gelid	adjective
giggle	giggle	verb:simple_present+intransitive
giggles	giggle	verb:simple_present+intransitive
giggled	giggle	verb:simple_past+intransitive
giggled	giggle	verb:past_participle+intransitive
giggling	giggle	verb:present_participle+intransitive
giggle	giggle	noun
giggles	giggle	noun:plural
garland	garland	noun
garlands	garland	noun:plural
garland	garland	verb:simple_present+transitive
garlands	garland	verb:simple_present+transitive
garlanded	garland	verb:simple_past+transitive
garlanded	garland	verb:past_participle+transitive
garlanding	garland	verb:present_participle+transitive
generate	generate	verb:simple_present+transitive
generates	generate	verb:simple_present+transitive
generated	generate	verb:simple_past+transitive
generated	generate	verb:past_participle+transitive
generating	generate	verb:present_participle+transitive
gabion	gabion	noun
gills	gills	noun
greeting	greeting	noun
greeting	greeting	verb:simple_present+
greetings	greeting	verb:simple_present+
greetinged	greeting	verb:simple_past+
greetinged	greeting	verb:past_participle+
greetinging	greeting	verb:present_participle+
grade	grade	noun
grade	grade	verb:simple_present+
grades	grade	verb:simple_present+
graded	grade	verb:simple_past+
graded	grade	verb:past_participle+
grading	grade	verb:present_participle+
gondola	gondola	noun
geometry	geometry	noun
gizmo	gizmo	noun
guideline	guideline	noun
guidelines	guideline	noun:plural
guidance	guidance	noun
gush	gush	verb:simple_present+
gushs	gush	verb:simple_present+
gushed	gush	verb:simple_past+
gushed	gush	verb:past_participle+
gushing	gush	verb:present_participle+
gush	gush	verb:simple_present+
gushs	gush	verb:simple_present+
gushed	gush	verb:simple_past+
gushed	gush	verb:past_participle+
gushing	gush	verb:present_participle+
gush	gush	noun
gentoo	gentoo	proper noun
gentoo	gentoo	noun
gaum	gaum	noun
gams	gams	noun
groan	groan	noun
groan	groan	verb:simple_present+
groans	groan	verb:simple_present+
groaned	groan	verb:simple_past+
groaned	groan	verb:past_participle+
groaning	groan	verb:present_participle+
garda	garda	noun
gentle	gentle	adjective
greatest	greatest	adjective
gombeen	gombeen	noun
gombeen	gombeen	adjective
ghit	ghit	noun
ghits	ghit	noun:plural
galileo	galileo	noun
galileos	galileo	noun:plural
galileo	galileo	proper noun
gunpowder	gunpowder	noun
galore	galore	adverbe
gunyah	gunyah	noun
gitmo	gitmo	noun
grit	grit	noun
grit	grit	verb:simple_present+
grits	grit	verb:simple_present+
???	grit	verb:simple_past+
???	grit	verb:past_participle+
???	grit	verb:present_participle+
gritting	grit	verb:present_participle
gretel	gretel	proper noun
gaeaf	gaeaf	noun
Gorffennaf	Gorffennaf	proper noun
geneth	geneth	noun
glo	glo	noun
gambling	gambling	noun
gnarly	gnarly	adjective
gumba	gumba	noun
geranium	geranium	noun
geranium	geranium	adjective
gadfly	gadfly	noun
gadflies	gadfly	noun:plural
gynocentrism	gynocentrism	noun
Gloucestershire	Gloucestershire	proper noun
guild	guild	noun
Gillian	Gillian	proper noun
gurage	gurage	proper noun
giving	giving	verb:simple_present+
givings	giving	verb:simple_present+
givinged	giving	verb:simple_past+
givinged	giving	verb:past_participle+
givinging	giving	verb:present_participle+
giving	giving	adjective
grigri	grigri	noun
gaseous	gaseous	adjective
geographic	geographic	adjective
gonad	gonad	noun
gonads	gonad	noun:plural
gobbledegook	gobbledegook	noun
genera	genera	noun
gangbanger	gangbanger	noun
golden	golden	adjective
galangal	galangal	noun
galleon	galleon	noun
grudge	grudge	noun
gogledd	gogledd	noun
gogledd	gogledd	adjective
gogleddol	gogleddol	adjective
gwyrddlas	gwyrddlas	adjective
gwyrdd	gwyrdd	noun
gwyrdd	gwyrdd	adjective
goidelic	goidelic	adjective
goidelic	goidelic	noun
goidel	goidel	noun
gorllewin	gorllewin	noun
gwyn	gwyn	noun
gwyn	gwyn	noun
gwyn	gwyn	adjective
gi	gi	noun
glawio	glawio	verb:simple_present+
glawioes	glawio	verb:simple_present+
glawioed	glawio	verb:simple_past+
glawioed	glawio	verb:past_participle+
glawioing	glawio	verb:present_participle+
greenish	greenish	adjective
geiriadur	geiriadur	noun
giraffiti	giraffiti	noun
glottochronology	glottochronology	noun
Greenwich	Greenwich	proper noun
gran	gran	noun
gonzo	gonzo	adjective
gossamer	gossamer	noun
gossamer	gossamer	adjective
Gordon	Gordon	proper noun
goaler	goaler	noun
goalers	goaler	noun:plural
gunnery	gunnery	noun
gelt	gelt	noun
Gaea	Gaea	proper noun
genesis	genesis	noun
gloss	gloss	noun
gloss	gloss	verb:simple_present+
glosss	gloss	verb:simple_present+
glossed	gloss	verb:simple_past+
glossed	gloss	verb:past_participle+
glossing	gloss	verb:present_participle+
Gnostic	Gnostic	adjective
Gnostic	Gnostic	noun
gallery	gallery	noun
gutta-percha	gutta-percha	noun
goulash	goulash	noun
grouper	grouper	noun
gaucho	gaucho	noun
gravlax	gravlax	noun
garth	garth	noun
gawk	gawk	verb:simple_present+intransitive
gawks	gawk	verb:simple_present+intransitive
gawked	gawk	verb:simple_past+intransitive
gawked	gawk	verb:past_participle+intransitive
gawking	gawk	verb:present_participle+intransitive
gust	gust	noun
gust	gust	verb:simple_present+intransitive
gusts	gust	verb:simple_present+intransitive
gusted	gust	verb:simple_past+intransitive
gusted	gust	verb:past_participle+intransitive
gusting	gust	verb:present_participle+intransitive
gin	gin	noun
gins	gin	noun:plural
gin	gin	verb:simple_present+transitive
gins	gin	verb:simple_present+transitive
???	gin	verb:simple_past+transitive
???	gin	verb:past_participle+transitive
???	gin	verb:present_participle+transitive
Galizan	Galizan	proper noun
galiza	galiza	proper noun
gurner	gurner	noun
gurning	gurning	noun
gurn	gurn	verb:simple_present+intransitive
gurns	gurn	verb:simple_present+intransitive
gurned	gurn	verb:simple_past+intransitive
gurned	gurn	verb:past_participle+intransitive
gurning	gurn	verb:present_participle+intransitive
glutamate	glutamate	noun
gorgon	gorgon	noun
greywater	greywater	noun
gopuram	gopuram	noun
guestimate	guestimate	noun
genocide	genocide	noun
grouping	grouping	verbal noun
grouping	grouping	noun
groupings	grouping	noun:plural
glaucoma	glaucoma	noun
glycoprotein	glycoprotein	noun
glyphs	glyphs	noun
Goran	Goran	proper noun
galactic	galactic	adjective
Geoffrey	Geoffrey	proper noun
Godfrey	Godfrey	proper noun
growler	growler	noun
gaeltacht	gaeltacht	noun
glowing	glowing	verbal noun
glowing	glowing	adjective
grange	grange	noun
good-looking	good-looking	adjective
gunfire	gunfire	noun
gravel	gravel	noun
gravel	gravel	verb:simple_present+transitive
gravels	gravel	verb:simple_present+transitive
???	gravel	verb:simple_past+transitive
???	gravel	verb:past_participle+transitive
???	gravel	verb:present_participle+transitive
geometric	geometric	adjective
gross	gross	adjective
gross	gross	noun
gross	gross	verb:simple_present+
grosss	gross	verb:simple_present+
grossed	gross	verb:simple_past+
grossed	gross	verb:past_participle+
grossing	gross	verb:present_participle+
gobble	gobble	verb:simple_present+
gobbles	gobble	verb:simple_present+
gobbled	gobble	verb:simple_past+
gobbled	gobble	verb:past_participle+
gobbling	gobble	verb:present_participle+
gobbler	gobbler	noun
Glaswegian	Glaswegian	adjective
Glaswegian	Glaswegian	noun
Glaswegians	Glaswegian	noun:plural
grubber	grubber	noun
gully	gully	noun
gooseberry	gooseberry	noun
grassroots	grassroots	adjective
gill	gill	noun
gyrwynt	gyrwynt	noun
growing	growing	verbal noun
growing	growing	adjective
gesture	gesture	noun
gesture	gesture	verb:simple_present+
gestures	gesture	verb:simple_present+
gestured	gesture	verb:simple_past+
gestured	gesture	verb:past_participle+
gesturing	gesture	verb:present_participle+
god-forsaken	god-forsaken	adjective
godless	godless	adjective
god-child	god-child	noun
gracious	gracious	adjective
gracious	gracious	interjection
ghillie	ghillie	noun
godparent	godparent	noun
godparents	godparent	noun:plural
god-awful	god-awful	adjective
giro	giro	noun
gal	gal	noun
gals	gal	noun:plural
gal	gal	noun
gals	gal	noun:plural
genuphallation	genuphallation	noun
god-fearing	god-fearing	adjective
gutter	gutter	noun
gutter	gutter	adjective
gunter	gunter	proper noun
Gunther	Gunther	proper noun
gallows	gallows	noun
glycerol	glycerol	noun
genotoxic	genotoxic	adjective
gymnosperm	gymnosperm	noun
girly	girly	adjective
ghosting	ghosting	noun
greeny	greeny	noun
greeny	greeny	adjective
gaslight	gaslight	noun
gullibility	gullibility	noun
grin	grin	noun
grins	grin	noun:plural
grin	grin	verb:simple_present+intransitive
grins	grin	verb:simple_present+intransitive
???	grin	verb:simple_past+intransitive
???	grin	verb:past_participle+intransitive
???	grin	verb:present_participle+intransitive
gotra	gotra	noun
guilty	guilty	adjective
guilty	guilty	noun
gravitropism	gravitropism	noun
gyve	gyve	noun
galoshes	galoshes	noun
greatly	greatly	adverbe
goba	goba	noun
goba	goba	verb:simple_present+
gobas	goba	verb:simple_present+
gobad	goba	verb:simple_past+
gobad	goba	verb:past_participle+
gobing	goba	verb:present_participle+
gobtha	gobtha	verb:simple_present+
gobthas	gobtha	verb:simple_present+
gobthad	gobtha	verb:simple_past+
gobthad	gobtha	verb:past_participle+
gobthing	gobtha	verb:present_participle+
graceful	graceful	adjective
graceless	graceless	adjective
gory	gory	adjective
gore	gore	noun
gore	gore	verb:simple_present+
gores	gore	verb:simple_present+
gored	gore	verb:simple_past+
gored	gore	verb:past_participle+
goring	gore	verb:present_participle+
gore	gore	noun
gores	gore	noun:plural
gauche	gauche	adjective
gasp	gasp	verb:simple_present+
gasps	gasp	verb:simple_present+
gasped	gasp	verb:simple_past+
gasped	gasp	verb:past_participle+
gasping	gasp	verb:present_participle+
gasping	gasp	verb:present_participle
gasp	gasp	noun
gadzooks	gadzooks	interjection
gobadh	gobadh	verb:simple_present+
gobadhs	gobadh	verb:simple_present+
gobadhed	gobadh	verb:simple_past+
gobadhed	gobadh	verb:past_participle+
gobadhing	gobadh	verb:present_participle+
gol	gol	verb:simple_present+
gols	gol	verb:simple_present+
???	gol	verb:simple_past+
???	gol	verb:past_participle+
???	gol	verb:present_participle+
goil	goil	verb:simple_present+
goils	goil	verb:simple_present+
goiled	goil	verb:simple_past+
goiled	goil	verb:past_participle+
goiling	goil	verb:present_participle+
glan	glan	adjective
guilt	guilt	noun
granda	granda	adjective
gently	gently	adverbe
gratuita	gratuita	adjective
grundle	grundle	noun
grundle	grundle	verb:simple_present+
grundles	grundle	verb:simple_present+
grundled	grundle	verb:simple_past+
grundled	grundle	verb:past_participle+
grundling	grundle	verb:present_participle+
grundle	grundle	noun
Graham	Graham	proper noun
gamesmanship	gamesmanship	noun
getup	getup	noun
getups	getup	noun:plural
gerrymander	gerrymander	noun
gerrymander	gerrymander	verb:simple_present+
gerrymanders	gerrymander	verb:simple_present+
???	gerrymander	verb:simple_past+
???	gerrymander	verb:past_participle+
gerrymandering	gerrymander	verb:present_participle+
gerrymandering	gerrymander	verb:present_participle
garish	garish	adjective
garget	garget	noun
greensward	greensward	noun
greenswards	greensward	noun:plural
gelding	gelding	noun
gubbins	gubbins	noun
gangbang	gangbang	noun
gangbang	gangbang	verb:simple_present+
gangbangs	gangbang	verb:simple_present+
gangbanged	gangbang	verb:simple_past+
gangbanged	gangbang	verb:past_participle+
gangbanging	gangbang	verb:present_participle+
gluten	gluten	noun
gliadin	gliadin	noun
glutin	glutin	noun
glutelin	glutelin	noun
gurdwara	gurdwara	noun
gurdwaras	gurdwara	noun:plural
Gurjit	Gurjit	proper noun
grocery	grocery	noun
grocer	grocer	noun
greengrocer	greengrocer	noun
geophagia	geophagia	noun
gribble	gribble	noun
goblet	goblet	noun
goblets	goblet	noun:plural
gmail	gmail	noun
gmails	gmail	noun:plural
grounds	grounds	noun
gank	gank	verb:simple_present+transitive
ganks	gank	verb:simple_present+transitive
